2026-07-06 00:46:11 | INFO     | scheme_scraper | ============================================================
2026-07-06 00:46:11 | INFO     | scheme_scraper |   INFOU SCHEME INTELLIGENCE PIPELINE
2026-07-06 00:46:11 | INFO     | scheme_scraper | ============================================================
2026-07-06 00:46:11 | INFO     | scheme_scraper |   Python        : 3.10.11
2026-07-06 00:46:11 | INFO     | scheme_scraper |   Input CSV     : data\input\sample_schemes.csv
2026-07-06 00:46:11 | INFO     | scheme_scraper |   Run Directory : runs\run_20260706_0046
2026-07-06 00:46:11 | INFO     | scheme_scraper |   Log File      : runs\run_20260706_0046\pipeline.log
2026-07-06 00:46:11 | INFO     | scheme_scraper |   Model         : nvidia/nemotron-3-super-120b-a12b
2026-07-06 00:46:11 | INFO     | scheme_scraper |   Workers       : 6
2026-07-06 00:46:11 | INFO     | scheme_scraper |   Headless      : True
2026-07-06 00:46:11 | INFO     | scheme_scraper |   Images Off    : True
2026-07-06 00:46:11 | INFO     | scheme_scraper |   Max Pages     : 30/scheme
2026-07-06 00:46:11 | INFO     | scheme_scraper |   NVIDIA Key    : SET (nvapi-n3...)
2026-07-06 00:46:11 | INFO     | scheme_scraper | ============================================================
2026-07-06 00:46:11 | INFO     | scheme_scraper | Pipeline start: 900 total, 900 pending, 6 workers
2026-07-06 00:46:11 | INFO     | scheme_scraper.llm.nvidia_client | KeyRotator: 1 NVIDIA API key(s) loaded. Key indices: [0]
2026-07-06 00:46:11 | INFO     | scheme_scraper.llm.nvidia_client |   Key [0]: nvapi-n3…0ziK
2026-07-06 00:46:11 | INFO     | scheme_scraper.llm.nvidia_client | LLM client initialised. Model: nvidia/nemotron-3-super-120b-a12b | Base: https://integrate.api.nvidia.com/v1 | Keys: 1
2026-07-06 00:46:11 | INFO     | scheme_scraper | >> Starting: Haryana State Start-ups Scheme [row-1]
2026-07-06 00:46:11 | INFO     | scheme_scraper | >> Starting: PADMA Scheme [row-2]
2026-07-06 00:46:11 | INFO     | scheme_scraper | >> Starting: State Mini Cluster Development Scheme [row-4]
2026-07-06 00:46:11 | INFO     | scheme_scraper | >> Starting: Mukhya Mantri Antyodaya Parivar Utthan Yojana (MMAPUY) [row-3]
2026-07-06 00:46:11 | INFO     | scheme_scraper | >> Starting: Critical Infrastructure Development Scheme [row-5]
2026-07-06 00:46:11 | INFO     | scheme_scraper | >> Starting: Industrial Infrastructure Development Scheme [row-6]
2026-07-06 00:46:14 | INFO     | scheme_scraper.crawler.driver | Chrome driver created (headless=True, images=off)
2026-07-06 00:46:14 | INFO     | scheme_scraper.crawler.driver | Chrome driver created (headless=True, images=off)
2026-07-06 00:46:15 | INFO     | scheme_scraper.crawler.driver | Chrome driver created (headless=True, images=off)
2026-07-06 00:46:15 | INFO     | scheme_scraper.crawler.driver | Chrome driver created (headless=True, images=off)
2026-07-06 00:46:15 | INFO     | scheme_scraper.crawler.driver | Chrome driver created (headless=True, images=off)
2026-07-06 00:46:15 | INFO     | scheme_scraper.crawler.driver | Chrome driver created (headless=True, images=off)
2026-07-06 00:48:47 | INFO     | scheme_scraper | Crawl complete for 'State Mini Cluster Development Scheme': 30 pages, 2 docs, 0 errors, 552 skipped
2026-07-06 00:48:49 | INFO     | scheme_scraper |   Crawled 30 pages, 2 docs, evidence text: 148157 chars
2026-07-06 00:48:50 | INFO     | scheme_scraper | Crawl complete for 'Industrial Infrastructure Development Scheme': 30 pages, 2 docs, 0 errors, 552 skipped
2026-07-06 00:48:51 | INFO     | scheme_scraper | Crawl complete for 'Critical Infrastructure Development Scheme': 30 pages, 2 docs, 0 errors, 552 skipped
2026-07-06 00:48:52 | INFO     | scheme_scraper |   Crawled 30 pages, 2 docs, evidence text: 148157 chars
2026-07-06 00:48:53 | INFO     | scheme_scraper |   Crawled 30 pages, 2 docs, evidence text: 148157 chars
2026-07-06 00:49:02 | INFO     | scheme_scraper.llm.nvidia_client | KeyRotator: rotated to key [0] (next request after success)
2026-07-06 00:49:02 | INFO     | scheme_scraper.llm.nvidia_client | LLM analysis complete for 'State Mini Cluster Development Scheme': confidence=medium, objectives=8, docs=8
2026-07-06 00:49:02 | INFO     | scheme_scraper | [DONE] Completed: State Mini Cluster Development Scheme | confidence=medium | 170.5s
2026-07-06 00:49:02 | INFO     | scheme_scraper | >> Starting: HUM Registration [row-7]
2026-07-06 00:49:02 | INFO     | scheme_scraper | Progress: 1/900 (completed)
2026-07-06 00:49:03 | INFO     | scheme_scraper.crawler.driver | Chrome driver created (headless=True, images=off)
2026-07-06 00:49:10 | INFO     | scheme_scraper.llm.nvidia_client | KeyRotator: rotated to key [0] (next request after success)
2026-07-06 00:49:10 | WARNING  | scheme_scraper.llm.nvidia_client | Primary JSON parse failed for 'Industrial Infrastructure Development Scheme'. Attempting repair.
2026-07-06 00:49:10 | WARNING  | scheme_scraper.llm.nvidia_client | Attempting JSON repair for scheme: Industrial Infrastructure Development Scheme
2026-07-06 00:49:11 | INFO     | scheme_scraper.llm.nvidia_client | KeyRotator: rotated to key [0] (next request after success)
2026-07-06 00:49:11 | INFO     | scheme_scraper.llm.nvidia_client | LLM analysis complete for 'Critical Infrastructure Development Scheme': confidence=medium, objectives=7, docs=8
2026-07-06 00:49:11 | INFO     | scheme_scraper | [DONE] Completed: Critical Infrastructure Development Scheme | confidence=medium | 179.4s
2026-07-06 00:49:11 | INFO     | scheme_scraper | >> Starting: Pradhan Mantri Mudra Yojana (PMMY) [row-8]
2026-07-06 00:49:11 | INFO     | scheme_scraper | Progress: 2/900 (completed)
2026-07-06 00:49:12 | INFO     | scheme_scraper.crawler.driver | Chrome driver created (headless=True, images=off)
2026-07-06 00:49:12 | INFO     | scheme_scraper | Crawl complete for 'Haryana State Start-ups Scheme': 30 pages, 4 docs, 0 errors, 0 skipped
2026-07-06 00:49:15 | INFO     | scheme_scraper.llm.nvidia_client | KeyRotator: rotated to key [0] (next request after success)
2026-07-06 00:49:15 | INFO     | scheme_scraper.llm.nvidia_client | LLM analysis complete for 'Industrial Infrastructure Development Scheme': confidence=medium, objectives=6, docs=0
2026-07-06 00:49:15 | INFO     | scheme_scraper | [DONE] Completed: Industrial Infrastructure Development Scheme | confidence=medium | 183.4s
2026-07-06 00:49:15 | INFO     | scheme_scraper | >> Starting: CGTMSE (Credit Guarantee Fund Trust for MSEs) [row-9]
2026-07-06 00:49:15 | INFO     | scheme_scraper | Progress: 3/900 (completed)
2026-07-06 00:49:15 | INFO     | scheme_scraper |   Crawled 30 pages, 4 docs, evidence text: 188567 chars
2026-07-06 00:49:16 | INFO     | scheme_scraper.crawler.driver | Chrome driver created (headless=True, images=off)
2026-07-06 00:49:33 | INFO     | scheme_scraper | Crawl complete for 'PADMA Scheme': 30 pages, 20 docs, 2 errors, 0 skipped
